Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Balanza.PrjPcb|ReportField=ProjectFullPath~C:\Users\Andy\Documents\07_AltiumDesigns\Balanza\Balanza.PrjPcb|ReportField=Title~Bill of Materials For Project [Balanza.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~11|ReportField=ReportTime~17:01:42|ReportField=ReportDate~23/10/2017|ReportField=ReportDateTime~23/10/2017 17:01:42|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~23/10/2017|ReportField=CurrentTime~17:01:08|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Andy\Documents\07_AltiumDesigns\Balanza\Balanza.SchDoc|ReportField=DocumentName~Balanza.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~22/10/2017|ReportField=Organization~|ReportField=ProjectName~Balanza.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Balanza.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Andy\Documents\07_AltiumDesigns\Balanza\Balanza.PrjPcb
1|Header 8|Header, 8-Pin|4CellIn|HDR1X8|Header 8|1
2|Header 7|Header, 7-Pin|5V, 9V|HDR1X7|Header 7|2
3|Header 3|Header, 3-Pin|Alim|HDR1X3|Header 3|1
4|Header 15|Header, 15-Pin|ArdL, ArdR|HDR1X15|Header 15|2
5|Header 6|Header, 6-Pin|BT, Cell6|HDR1X6|Header 6|2
6|Header 4|Header, 4-Pin|Cell4|HDR1X4|Header 4|1
7|Res1|Resistor|R1, R2|AXIAL-0.3|Res1|2
